name,Occurrence,order,Main page,Store Link,Accessible,Multiplayer,Social,Creator,Origin,Store,Price,Number of Reviews,Temp_reviews_no_n/a,Normalized reviews,Web Visitor Count,Normalized visitors,Popularity via Z-score,Who,Rating,Additional Comments for removal,Official Documentation,External Guides,Video links,Editor,Editor - Description,Scripting,Scripting - Description,Lang,Hosting,Hosting - Description,Peer-review,Review - Description
Community Garden,,32,-,https://store.steampowered.com/app/692530/Community_Garden/,Yes,,,,Google search,Steam,€8.19,28,,,,,,,,,,,,,,,,,,,,
Conductor: Creative Joy Engine,,74,-,https://store.steampowered.com/app/1518940/Conductor_Creative_Joy_Engine/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,55,,,,,,,85%,,,,,,,,,,,,,
Cook-Out,,48,https://www.meta.com/en-gb/experiences/cook-out/2004774962957063/,https://www.meta.com/en-gb/experiences/cook-out/2004774962957063/,Yes,No,,,quest_query_data_social,Quest,15.99,1167,,,,,,,90,,,,,,,,,,,,,
Cop Academy,,75,-,https://store.steampowered.com/app/982710/Cop_Academy/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,25,,,,,,,88%,,,,,,,,,,,,,
CoreVR,,91,https://corevr.co.uk/,https://store.steampowered.com/app/2864660/CoreVR/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Covert Syndrome,,96,-,https://store.steampowered.com/app/589460/Covert_Syndrome/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,145,,,,,,,68%,,,,,,,,,,,,,
Cube Runners,,5,https://www.meta.com/en-gb/experiences/cube-runners/8390456747663346/,https://www.meta.com/en-gb/experiences/cube-runners/8390456747663346/,Yes,Yes,Yes,No,quest_query_data_social,Quest,Free,2106,,,,,,,82,,,,,,,,,,,,,
Cube Runners,,37,https://sites.google.com/view/cuberunners/home?authuser=0,https://www.oculus.com/experiences/quest/8390456747663346/,Yes,Yes,Yes,No,QuestDB,Quest,Free,2051,,,,,,,,,,,,,,,,,,,,
Curatours,,30,https://store.steampowered.com/app/1532110/Curatours/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1532110/Curatours/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,14,,,,,,,92%,,,,,,,,,,,,,
Dance Central,,49,https://www.dancecentral.com/,https://www.oculus.com/experiences/quest/2453152771391571/,Yes,Yes,Yes,No,QuestDB,Quest,Free,1377,,,,,,,,,,,,,,,,,,,,
Dance Central,,33,https://www.dancecentral.com/,https://www.meta.com/en-gb/experiences/dance-central/2453152771391571/,Yes,Yes,Yes,No,Google search,Meta,Free,,,,,,,,,,,,,"Custom, In-app",,full code,,JS,Self-hosted,,No peer review,
DAVIGO KNIGHT'S PASS,,40,https://www.davigogame.com/knightspass,https://store.steampowered.com/app/1116540/DAVIGO_VR_vs_PC/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,0,,,,,,,-,,,,,,,,,,,,,
DCS World Steam Edition,,3,https://www.digitalcombatsimulator.com/en/,https://store.steampowered.com/app/223750/DCS_World_Steam_Edition/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,34035,,,,,,,85%,,,,,,,,,,,,,
Dead and Buried II,,68,-,https://www.oculus.com/experiences/quest/2134077359973067/,Yes,Yes,,,QuestDB,Quest,Free,671,,,,,,,,,,,,,,,,,,,,
Death Damnation Demo,,53,https://store.steampowered.com/app/1915450/Death_Damnation__Zombies_Ghosts_and_Vampires/?snr=1_7_7_151_150_2,https://store.steampowered.com/app/1915450/Death_Damnation__Zombies_Ghosts_and_Vampires/?snr=1_7_7_151_150_2,,No,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
Death Game Hotel,,28,https://www.meta.com/en-gb/experiences/death-game-hotel/7371422382882960/,https://www.meta.com/en-gb/experiences/death-game-hotel/7371422382882960/,Yes,No,,,quest_query_data_social,Quest,19.99,38,,,,,,,92,,,,,Custom,,full code,,C#,Self-hosted,,No peer review,
Deisim,,90,https://www.meta.com/en-gb/experiences/deisim/3526702020710931/,https://www.meta.com/en-gb/experiences/deisim/3526702020710931/,Yes,No,,,quest_query_data_metaverse,Quest,14.99,1548,,,,,,,92,,,,,,,,,,,,,
GRAB,,7,https://grabvr.quest/,https://www.meta.com/en-gb/experiences/grab/4104088956355944/,Yes,Yes,Yes,Yes,quest_query_data_social,Quest,Free,10615,10615,0.01162823702,0,-0.1945272015,-0.1829,A2,98,Lack custom interaction/logic,-,-,https://www.youtube.com/watch?v=HVfMFUgSqaw,In-app,In-app editor provided with basic objects.,no scripting capabilities,-,,Cloud,The worlds are directly published inside the application,"possible further review, No peer review","No review to publish, but worlds can be verified later"
Derby,,22,https://www.meta.com/en-gb/experiences/derby/5981971501867491/,https://www.meta.com/en-gb/experiences/derby/5981971501867491/,Yes,No,Yes,Yes,quest_query_data_metaverse,Quest,0,454,,,,,,,84,,,,,,,,,,,,,
Desert Bus VR,,35,https://www.desertbusvr.com/,https://store.steampowered.com/app/638110/Desert_Bus_VR/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,1698,,,,,,,88%,,,,,,,,,,,,,
Devas Vs Asuras,,40,https://store.steampowered.com/app/2678790/Devas_Vs_Asuras/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/2678790/Devas_Vs_Asuras/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
Meta Horizon Worlds,,8,https://www.meta.com/en-gb/experiences/meta-horizon-worlds/2532035600194083/,https://www.meta.com/en-gb/experiences/meta-horizon-worlds/2532035600194083/,Yes,Yes,Yes,Yes,Google search,Meta,Free,"9,113","9,113",-0.02819495127,19610000,-0.160436469,-0.1886,A1,,,https://www.oculus.com/horizon-worlds/learn/,,https://www.youtube.com/watch?v=r8C7-AOEBhU,"In-app, Custom",In app custom tool. In 2025 Meta added a custom editor.,"visual scripting, full code","You can add scripts to event, objects and player. Added scripting capabilities in 2025",TS,Cloud,Worlds are published in Meta worlds tab.,"possible further review, Test Case",Self questionniare plus possible firther review.
Dimension10,,34,-,,No,,,,Google search,,,,,,,,,,,,,,,Game Engine + SDK,,full code,,,Self-hosted,,No peer review,
Disco Samurai Demo,,54,https://store.steampowered.com/app/2576410/Disco_Samurai/?snr=1_7_7_151_150_2,https://store.steampowered.com/app/2576410/Disco_Samurai/?snr=1_7_7_151_150_2,,No,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
Discovery,,230,-,https://store.steampowered.com/app/1530530/Discovery/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
District VR,,100,https://district.berlin/,https://store.steampowered.com/app/2732650/District_VR/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Districts,,35,https://district.berlin/,https://store.steampowered.com/app/2732650/District_VR/,No,,,,Google search,Steam,-,,,,,,,,,,,,,,,,,,,,,
DiveReal,,36,-,https://store.steampowered.com/app/865200/DiveReal_inactive_stopped/,No,,,,Google search,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Dodge the Wall!,,79,-,https://store.steampowered.com/app/1061600/Dodge_the_Wall/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,27,,,,,,,77%,,,,,,,,,,,,,
DOWNSHOT,,40,https://www.downshotvr.com/,https://www.oculus.com/experiences/quest/9166521666722742/,Yes,Yes,Yes,No,QuestDB,Quest,Free,1871,,,,,,,,,,,,,,,,,,,,
Dream,,37,https://shop.dreamos.ai/,#N/A,#N/A,No,,,Google search,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,
Drop In - VR F2P,,58,-,https://store.steampowered.com/app/1144800/Drop_In__VR_F2P/?curator_clanid=4777282,Yes,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Drop In - VR F2P,,56,-,https://store.steampowered.com/app/1144800/Drop_In__VR_F2P/?snr=1_7_7_151_150_2,Yes,Yes,,,steam_query_data_vr_multiplayer,Steam,Free,568,,,,,,,82%,,,,,,,,,,,,,
Dungeon Full Dive: Player Edition,,54,-,https://store.steampowered.com/app/2839600/Dungeon_Full_Dive_Player_Edition/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,42,,,,,,,50%,,,,,,,,,,,,,
Eden,,227,-,https://store.steampowered.com/app/1229910/Eden/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Edorble,,38,-,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Eleven Table Tennis,,42,https://www.meta.com/en-gb/experiences/eleven-table-tennis/1995434190525828/,https://www.meta.com/en-gb/experiences/eleven-table-tennis/1995434190525828/,Yes,No,,,quest_query_data_social,Quest,29.99,10179,,,,,,,92,,,,,,,,,,,,,
Elysium VR,,39,https://elysium.today/,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
EmbodyMe,,40,https://vr.embodyme.com/,"https://www.meta.com/en-gb/experiences/pcvr/1400181626701009/?utm_source=vr.embodyme.com&utm_medium=oculusredirect
https://store.steampowered.com/app/604530/EmbodyMe_Beta/",Yes,Yes,Yes,No,Google search,"Meta
Steam","Free
Free",66,,,,,,,,,,,,,,,,,,,,
EmbodyMe,,69,https://embodyme.com/,https://store.steampowered.com/app/604530/EmbodyMe_Beta/?snr=1_7_7_151_150_2,Yes,Yes,Yes,No,steam_query_data_vr_multiplayer,Steam,Free,24,,,,,,,75%,,,,,,,,,,,,,
Endless Battlefield,,20,https://store.steampowered.com/app/1795880/Endless_Battlefield/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1795880/Endless_Battlefield/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,55,,,,,,,43%,,,,,,,,,,,,,
ENDLESS BECOMING - APARTMENT,,95,-,https://store.steampowered.com/app/1669160/ENDLESS_BECOMING__APARTMENT/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,82,,,,,,,75%,,,,,,,,,,,,,
Endless Riff,,41,https://www.meta.com/en-gb/experiences/pcvr/1221075024649062/,https://www.meta.com/en-gb/experiences/pcvr/1221075024649062/,No,,,,Google search,Meta,Free,,,,,,,,,,,,,,,,,,,,,
ENGAGE,,4,https://www.meta.com/en-gb/experiences/engage/3092079454190601/,https://www.meta.com/en-gb/experiences/engage/3092079454190601/,Yes,Yes,Yes,Yes,quest_query_data_metaverse,Quest,Free,140,,,,,,,72,,,,,,,,,,,,,
ENGAGE,,1,https://www.meta.com/en-gb/experiences/engage/3092079454190601/,https://www.meta.com/en-gb/experiences/engage/3092079454190601/,Yes,Yes,Yes,Yes,quest_query_data_social,Quest,Free,140,,,,,,,72,,,,,,,,,,,,,
Penguin Paradise,,21,http://www.savastudios.xyz/,https://www.oculus.com/experiences/quest/5817303821616533/,Yes,Yes,Yes,Yes,QuestDB,Quest,Free,4421,4421,-0.1525960162,0,-0.1945272015,-0.3471,A2,,Lack custom interaction/logic,-,-,https://www.youtube.com/watch?v=I6CMgSF96ek,In-app,In-app editor provided with objects.,no scripting capabilities,-,,Cloud,The worlds seems to be directly published inside the application,No peer review,No information about review.
ENGAGE,,15,https://engagevr.io/,https://store.steampowered.com/app/449130/ENGAGE/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,steam_query_data_metaverse,Steam,Free,76,,,,,,,82%,,,,,,,,,,,,,
ENGAGE,,134,https://engagevr.io/,https://www.oculus.com/experiences/quest/3092079454190601/,Yes,Yes,Yes,Yes,QuestDB,Quest,Free,140,,,,,,,,,,,,,,,,,,,,
Epic Roller Coasters,,18,https://b4t.games/,https://store.steampowered.com/app/787790/Epic_Roller_Coasters/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,656,,,,,,,64%,,,,,,,,,,,,,
EpicLive,,43,https://www.salin.co.kr/epiclive/sub/epicLive/sub01.html,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Eventual VR,,44,-,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Facebook (Beta),,26,https://www.meta.com/en-gb/experiences/facebook-beta/6126469507395223/,https://www.meta.com/en-gb/experiences/facebook-beta/6126469507395223/,Yes,No,,,quest_query_data_social,Quest,0,138,,,,,,,52,,,,,,,,,,,,,
Facebook Spaces,,46,https://www.facebook.com/spaces,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Felix & Paul Studios 2024,,58,https://www.meta.com/en-gb/experiences/felix-paul-studios-2024/25867502682848132/,https://www.meta.com/en-gb/experiences/felix-paul-studios-2024/25867502682848132/,Yes,No,,,quest_query_data_metaverse,Quest,0,4,,,,,,,80,,,,,,,,,,,,,
Figmin XR | Mixed Reality,,72,https://www.meta.com/en-gb/experiences/figmin-xr-mixed-reality/6849182851823457/,https://www.meta.com/en-gb/experiences/figmin-xr-mixed-reality/6849182851823457/,Yes,Yes,,,quest_query_data_social,Quest,19.99,143,,,,,,,88,,,,,,,,,,,,,
Figmin XR | Mixed Reality,,85,https://www.meta.com/en-gb/experiences/figmin-xr-mixed-reality/6849182851823457/,https://www.meta.com/en-gb/experiences/figmin-xr-mixed-reality/6849182851823457/,Yes,Yes,,,quest_query_data_metaverse,Quest,19.99,143,,,,,,,88,,,,,,,,,,,,,
First Person Tennis - The Real Tennis Simulator,,19,https://www.meta.com/en-gb/experiences/first-person-tennis-the-real-tennis-simulator/6119989094742166/,https://www.meta.com/en-gb/experiences/first-person-tennis-the-real-tennis-simulator/6119989094742166/,Yes,No,,,quest_query_data_metaverse,Quest,22.99,1098,,,,,,,82,,,,,,,,,,,,,
First Steps,,73,https://www.meta.com/en-gb/experiences/first-steps/1863547050392688/,https://www.meta.com/en-gb/experiences/first-steps/1863547050392688/,Yes,No,,,quest_query_data_social,Quest,0,1003,,,,,,,96,,,,,,,,,,,,,
First Steps for Quest 2,,61,https://www.meta.com/en-gb/experiences/first-steps-for-quest-2/3675568169182204/,https://www.meta.com/en-gb/experiences/first-steps-for-quest-2/3675568169182204/,Yes,No,,,quest_query_data_social,Quest,0,1588,,,,,,,94,,,,,,,,,,,,,
First Touch for Meta Quest Touch Pro controllers,,21,https://www.meta.com/en-gb/experiences/first-touch-for-meta-quest-touch-pro-controllers/5808929989145615/,https://www.meta.com/en-gb/experiences/first-touch-for-meta-quest-touch-pro-controllers/5808929989145615/,Yes,No,,,quest_query_data_social,Quest,0,85,,,,,,,82,,,,,,,,,,,,,
First Touch for Meta Quest Touch Pro controllers,,75,https://www.meta.com/en-gb/experiences/first-touch-for-meta-quest-touch-pro-controllers/5808929989145615/,https://www.meta.com/en-gb/experiences/first-touch-for-meta-quest-touch-pro-controllers/5808929989145615/,Yes,No,,,quest_query_data_metaverse,Quest,0,85,,,,,,,82,,,,,,,,,,,,,
Fish Game,,73,https://fishgamevr.com/,https://www.oculus.com/experiences/quest/6556848877722096/,Yes,No,,,QuestDB,Quest,Free,516,,,,,,,,,,,,,,,,,,,,
Flipside,,13,https://www.meta.com/en-gb/experiences/flipside/2305425142915253/,https://www.meta.com/en-gb/experiences/flipside/2305425142915253/,Yes,Yes,Yes,No,quest_query_data_social,Quest,Free,108,,,,,,,78,,,,,,,,,,,,,
Flipside,,5,https://www.meta.com/en-gb/experiences/flipside/2305425142915253/,https://www.meta.com/en-gb/experiences/flipside/2305425142915253/,Yes,Yes,Yes,No,quest_query_data_metaverse,Quest,Free,108,,,,,,,78,,,,,,,,,,,,,
Flipside,,157,https://www.flipsidexr.com/,https://www.oculus.com/experiences/quest/2305425142915253/,Yes,Yes,Yes,No,QuestDB,Quest,Free,105,,,,,,,,,,,,,,,,,,,,
Flowtropolis,,47,https://www.flowtropolis.se/,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Fly Dangerous,,42,-,https://store.steampowered.com/app/1781750/Fly_Dangerous/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,341,,,,,,,79%,,,,,,,,,,,,,
ForeVR,,48,https://www.forevrgames.com/,,,No,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
ForeVR Cornhole,,74,https://www.meta.com/en-gb/experiences/forevr-cornhole/5011588462297991/,https://www.meta.com/en-gb/experiences/forevr-cornhole/5011588462297991/,Yes,No,,,quest_query_data_metaverse,Quest,0,512,,,,,,,82,,,,,,,,,,,,,
ForeVR Darts,,76,https://www.meta.com/en-gb/experiences/forevr-darts/3831620133609128/,https://www.meta.com/en-gb/experiences/forevr-darts/3831620133609128/,Yes,No,,,quest_query_data_social,Quest,9.99,592,,,,,,,80,,,,,,,,,,,,,
ForeVR Pool,,83,https://www.meta.com/en-gb/experiences/forevr-pool/4760607174068295/,https://www.meta.com/en-gb/experiences/forevr-pool/4760607174068295/,Yes,No,,,quest_query_data_social,Quest,19.99,623,,,,,,,78,,,,,,,,,,,,,
Fovos VR,,81,-,https://store.steampowered.com/app/576650/Fovos_VR/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,113,,,,,,,62%,,,,,,,,,,,,,
FPS Game: Dev Test,,29,-,https://store.steampowered.com/app/1901200/FPS_Game_Dev_Test/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,1397,,,,,,,85%,,,,,,,,,,,,,
Fracked,,62,https://www.meta.com/en-gb/experiences/fracked/8074885222534394/,https://www.meta.com/en-gb/experiences/fracked/8074885222534394/,Yes,No,,,quest_query_data_metaverse,Quest,17.99,21,,,,,,,92,,,,,,,,,,,,,
DigiGods: Build and Battle,,22,https://www.digigods.gg/,https://www.oculus.com/experiences/quest/6859397944122034/,Yes,Yes,Yes,Yes,QuestDB,Quest,Free,4170,4170,-0.1592508898,0,-0.1945272015,-0.3538,A1,,Lack custom interaction/logic,,,,In-app,in app from above world editor. Drag and drop objects.,no scripting capabilities,-,,Cloud,published as a map.,No peer review,No information.
Fruit Ninja 2,,52,https://www.meta.com/en-gb/experiences/fruit-ninja-2/4917905281646450/,https://www.meta.com/en-gb/experiences/fruit-ninja-2/4917905281646450/,Yes,No,,,quest_query_data_metaverse,Quest,24.99,150,,,,,,,82,,,,,,,,,,,,,
Fundamental Surgery,,50,https://fundamentalsurgery.com/,,,No,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Futurescape,,28,https://www.meta.com/en-gb/experiences/6371182992938672,https://www.meta.com/en-gb/experiences/6371182992938672,No,,,,quest_query_data_metaverse,Quest,,,,,,,,,100,,,,,,,,,,,,,
Galaxity,,51,https://www.galaxity.net/,"https://www.meta.com/en-gb/experiences/2337801553010648/
https://store.steampowered.com/app/1002890/Galaxity__Beta_VR/
https://store.steampowered.com/app/1805190/Galaxity__Korea_VR/",Yes,Yes,Yes,No,Google search,"Meta
Steam
Steam","Free
Free
Free",28,,,,,,,,,,,,,,,,,,,,
Galaxity : Bangkok VR,,218,-,https://store.steampowered.com/app/1650920/Galaxity__Bangkok_VR/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Galaxity : Beta VR,,59,https://www.galaxity.net/,https://store.steampowered.com/app/1002890/Galaxity__Beta_VR/?snr=1_7_7_151_150_2,No,Yes,Yes,No,steam_query_data_vr_multiplayer,Steam,,20,,,,,,,85%,,,,,,,,,,,,,
Galaxity : Korea VR,,90,-,https://store.steampowered.com/app/1805190/Galaxity__Korea_VR/?snr=1_7_7_151_150_2,No,Yes,,,steam_query_data_vr_multiplayer,Steam,,11,,,,,,,72%,,,,,,,,,,,,,
Galaxity : Terminal21 VR,,186,-,https://store.steampowered.com/app/1881830/Galaxity__Terminal21_VR/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Galaxy Kart,,60,https://www.meta.com/en-gb/experiences/galaxy-kart/5598654356882558/,https://www.meta.com/en-gb/experiences/galaxy-kart/5598654356882558/,Yes,No,,,quest_query_data_social,Quest,17.99,90,,,,,,,86,,,,,,,,,,,,,
Geekzonia,,52,-,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Ghostbusters: Rise of the Ghost Lord,,81,https://www.meta.com/en-gb/experiences/ghostbusters-rise-of-the-ghost-lord/4746232908818706/,https://www.meta.com/en-gb/experiences/ghostbusters-rise-of-the-ghost-lord/4746232908818706/,Yes,No,,,quest_query_data_social,Quest,29.99,540,,,,,,,80,,,,,,,,,,,,,
Glue,,53,https://glue.work/,,No,,,,Google search,,,,,,,,,,,,,,,,,,,,,,,
Go Clubbing,,219,https://www.clubmixed.com/go-clubbing/,https://store.steampowered.com/app/1627250/Go_Clubbing/?curator_clanid=4777282,No,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Gods of Gravity,,11,https://www.meta.com/en-gb/experiences/gods-of-gravity/3919415921458774/,https://www.meta.com/en-gb/experiences/gods-of-gravity/3919415921458774/,Yes,No,,,quest_query_data_social,Quest,0,2026,,,,,,,88,,,,,,,,,,,,,
Gods of Gravity,,56,https://www.meta.com/en-gb/experiences/gods-of-gravity/3919415921458774/,https://www.meta.com/en-gb/experiences/gods-of-gravity/3919415921458774/,Yes,No,,,quest_query_data_metaverse,Quest,0,2026,,,,,,,88,,,,,,,,,,,,,
GOLF+,,78,https://www.meta.com/en-gb/experiences/golf/2412327085529357/,https://www.meta.com/en-gb/experiences/golf/2412327085529357/,Yes,No,,,quest_query_data_social,Quest,29.99,45260,,,,,,,96,,,,,,,,,,,,,
Google Earth VR,,13,https://arvr.google.com/,https://store.steampowered.com/app/348250/Google_Earth_VR/?snr=1_7_7_151_150_1,,No,,,steam_query_data_vr_multiplayer,Steam,,3815,,,,,,,94%,,,,,,,,,,,,,
Gorilla Tag,,43,https://www.meta.com/en-gb/experiences/gorilla-tag/4979055762136823/,https://www.meta.com/en-gb/experiences/gorilla-tag/4979055762136823/,Yes,No,,,quest_query_data_social,Quest,0,125441,,,,,,,92,,,,,,,,,,,,,
Remio,,19,https://www.remiovr.com/,https://www.meta.com/en-gb/experiences/remio/5120897861344596/,Yes,Yes,Yes,Yes,quest_query_data_social,Quest,Free,3517,3517,-0.1765641668,1845,-0.1945239941,-0.3711,A2,94,Like Minecraft where you can mine and put blocks. This is may not be a full editor.,-,-,https://www.youtube.com/watch?v=ATxd2NgtNeU,In-app,Minecraft-like (not an editor),no scripting capabilities,-,,Cloud,Seems like it only has public worlds where players can mine and put blocks.,No peer review,No information about review.
GRAB,,38,https://grabvr.quest/,https://store.steampowered.com/app/1701130/GRAB/?snr=1_7_7_151_150_1,Yes,No,Yes,Yes,steam_query_data_vr_multiplayer,Steam,Free,88,,,,,,,90%,,,,,,,,,,,,,
GRAB,,47,https://www.meta.com/en-gb/experiences/grab/4104088956355944/,https://www.meta.com/en-gb/experiences/grab/4104088956355944/,Yes,Yes,Yes,Yes,quest_query_data_metaverse,Quest,Free,10615,,,,,,,98,,,,,,,,,,,,,
Grapple Tournament,,93,https://www.grappletournament.com/,https://store.steampowered.com/app/1384320/Grapple_Tournament/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,335,,,,,,,91%,,,,,,,,,,,,,
Gravity League,,68,https://www.meta.com/en-gb/experiences/gravity-league/5934280436582748/,https://www.meta.com/en-gb/experiences/gravity-league/5934280436582748/,Yes,No,,,quest_query_data_social,Quest,0,425,,,,,,,86,,,,,,,,,,,,,
Gravity League,,68,https://www.meta.com/en-gb/experiences/gravity-league/5934280436582748/,https://www.meta.com/en-gb/experiences/gravity-league/5934280436582748/,Yes,No,,,quest_query_data_metaverse,Quest,0,425,,,,,,,86,,,,,,,,,,,,,
GT:VR,,150,-,https://store.steampowered.com/app/2234300/GTVR/?curator_clanid=4777282,Book,Yes,,,SteamDB,Steam,Free,,,,,,,,,,,,,,,,,,,,,
Gun Raiders,,18,https://gunraiders.com/,https://www.oculus.com/experiences/quest/3982869578392875/,Yes,Yes,Yes,No,QuestDB,Quest,Free,5412,,,,,,,,,,,,,,,,,,,,
Guru Gedara,,54,-,https://store.steampowered.com/app/701010/Gurugedara/?snr=1_7_7_151_150_1,,Yes,,,Google search,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,
Gurugedara,,50,-,https://store.steampowered.com/app/701010/Gurugedara/?snr=1_7_7_151_150_1,,Yes,,,steam_query_data_vr_multiplayer,Steam,,12,,,,,,,83%,,,,,,,,,,,,,
GYM CLASS - BASKETBALL VR,,41,https://www.meta.com/en-gb/experiences/gym-class-basketball-vr/3661420607275144/,https://www.meta.com/en-gb/experiences/gym-class-basketball-vr/3661420607275144/,Yes,No,,,quest_query_data_social,Quest,0,58382,,,,,,,98,,,,,,,,,,,,,
GYM CLASS - BASKETBALL VR,,41,https://www.meta.com/en-gb/experiences/gym-class-basketball-vr/3661420607275144/,https://www.meta.com/en-gb/experiences/gym-class-basketball-vr/3661420607275144/,Yes,No,,,quest_query_data_metaverse,Quest,0,58382,,,,,,,98,,,,,,,,,,,,,
Half + Half,,4,https://www.meta.com/en-gb/experiences/half-half/2035353573194060/,https://www.meta.com/en-gb/experiences/half-half/2035353573194060/,Yes,Yes,Yes,No,quest_query_data_social,Quest,Free,886,,,,,,,78,,,,,,,,,,,,,
Half + Half,,55,https://halfandhalf.fun/,https://www.meta.com/en-gb/experiences/2035353573194060/,Yes,Yes,Yes,No,Google search,Meta,Free,,,,,,,,,,,,,,,,,,,,,
Half + Half,,60,https://halfandhalf.fun/,https://www.oculus.com/experiences/quest/2035353573194060/,Yes,Yes,Yes,No,QuestDB,Quest,Free,885,,,,,,,,,,,,,,,,,,,,
Helios,,56,-,https://store.steampowered.com/app/1047640/Helios/,No,,,,Google search,Steam,,,,,,,,,,,,,,,,,,,,,,
HEMOSY and Project Polis,,57,-,#N/A,No,#N/A,,,Google search,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,
Hibow,,53,https://chesstar.com/hibowen.html,https://www.oculus.com/experiences/quest/3687705861311054/,Yes,Yes,No,No,QuestDB,Quest,Free,1110,,,,,,,,,,,,,,,,,,,,
High Fidelity,,58,https://www.highfidelity.com/,"https://www.meta.com/en-gb/experiences/pcvr/1255907384473836/
https://store.steampowered.com/app/390540/High_Fidelity/",No,,,,Google search,"Meta
Steam",Free,,,,,,,,,,,,,,,,,,,,,
Highway Madness,,78,-,https://store.steampowered.com/app/735460/Highway_Madness/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,46,,,,,,,69%,,,,,,,,,,,,,
Hoame,,78,https://www.meta.com/en-gb/experiences/hoame/6148239151883485/,https://www.meta.com/en-gb/experiences/hoame/6148239151883485/,Yes,No,,,quest_query_data_metaverse,Quest,0,249,,,,,,,68,,,,,,,,,,,,,
Home Legacy,,275,-,https://store.steampowered.com/app/394120/Home_Legacy/?curator_clanid=4777282,Yes,Yes,,,SteamDB,Steam,Free,445,,,,,,,,,,,,,,,,,,,,
Honeypot Espionage,,98,https://oldspace.pocketsizedhands.com/our-work/HoneypotEspionage/,https://store.steampowered.com/app/599780/Honeypot_Espionage/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,0,,,,,,,-,,,,,,,,,,,,,
Hoppin’,,59,https://hoppin.world/,https://www.meta.com/en-gb/experiences/hoppin/5105861412788569/?utm_source=hoppin.world&utm_medium=oculusredirect,Yes,Yes,Yes,No,Google search,Meta,Free,11,,,,,,,,,,,,,,,,,,,,
