name,Occurrence,order,Main page,Store Link,Accessible,Multiplayer,Social,Creator,Origin,Store,Price,Number of Reviews,Temp_reviews_no_n/a,Normalized reviews,Web Visitor Count,Normalized visitors,Popularity via Z-score,Who,Rating,Additional Comments for removal,Official Documentation,External Guides,Video links,Editor,Editor - Description,Scripting,Scripting - Description,Lang,Hosting,Hosting - Description,Peer-review,Review - Description
Aim XR,,8,https://www.meta.com/en-gb/experiences/aim-xr/4245506092131005/,https://www.meta.com/en-gb/experiences/aim-xr/4245506092131005/,Yes,No,,,quest_query_data_social,Quest,0,1259,,,,,,,86,,,,,,,,,,,,,
Aim XR,,79,https://www.meta.com/en-gb/experiences/aim-xr/4245506092131005/,https://www.meta.com/en-gb/experiences/aim-xr/4245506092131005/,Yes,No,,,quest_query_data_metaverse,Quest,0,1259,,,,,,,86,,,,https://www.youtube.com/watch?v=OatATrRSO2A,Game Engine + SDK,Unity + their SDK,full code,Script in C#,C#,Cloud,World are uploaded to their server.,"Test Case, possible further review",Automatic Security checks when uploading world.
Alcove,,2,https://www.rendever.com/alcove,https://www.meta.com/en-gb/experiences/alcove/3895528293794893/?utm_source=www.rendever.com&utm_medium=oculusredirect,Yes,Yes,Yes,No,Google search,Meta,Free,485,,,,,,,,,,,,,,,,,,,,
Alcove,,19,https://www.rendever.com/alcove,https://www.meta.com/en-gb/experiences/3895528293794893/,Yes,Yes,Yes,No,Google search,Meta,Free,485,,,,,,,,,,,,,,,,,,,,
Alcove,,45,https://www.meta.com/en-gb/experiences/alcove/3895528293794893/,https://www.meta.com/en-gb/experiences/alcove/3895528293794893/,Yes,Yes,Yes,No,quest_query_data_social,Quest,0,485,,,,,,,74,,https://wiki.neosvr.com/Main_Page,https://hackmd.io/@kohx/Syj3OwQJp,https://www.youtube.com/@Frooxius,In-app,In-app custom creator tool,visual scripting,In-app with LogiX language,,"Cloud, Self-hosted",Can choose to host world in cloud or self-hosted,No peer review,Only need to submit world orb.
Alcove,,78,https://www.rendever.com/alcove,https://www.oculus.com/experiences/quest/3895528293794893/,Yes,Yes,Yes,No,QuestDB,Quest,Free,485,,,,,,,,,,,,,,,,,,,,
Alloverse,,20,https://alloverse.com/,#N/A,No,#N/A,,,Google search,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,
Microsoft Mesh,,15,https://www.microsoft.com/en-us/microsoft-teams/microsoft-mesh,https://www.meta.com/en-gb/experiences/microsoft-mesh/6750166401689690/,Yes,Yes,Yes,Yes,quest_query_data_metaverse,Quest,Free,75,75,-0.2678234305,3491000000,5.874353327,5.6065,A1,38,"It may not be a free service. ""Microsoft 365 and Office 365 commercial subscriptions that have a Teams license""",https://learn.microsoft.com/en-us/mesh/,https://github.com/microsoft/Mesh-Toolkit-Unity,https://www.youtube.com/watch?v=RctQj51rA9w,"Game Engine + SDK, In-app",Both in app editor and Unity based SDK.,"full code, logic flow scripting",In the app creation tool there is a limited visual/logic scripoting but in the unity + SDK editor there is full C# scripoting ( hosted by them) and a logic flow scripting capabilites.,,Cloud,The scripting seems hosted on a microsoft cloud machine.,Test Case,The only review process it seems to happen is a test cases that needs to pass for the spaces to be published.
AltspaceVR,,5,-,https://www.meta.com/en-gb/experiences/altspacevr/2133027990157329/,No,Yes,Yes,Yes,Google search,Meta,Free,,,,,,,,,,,,,,,,,,,,,
Amigo VR,,77,-,https://store.steampowered.com/app/622310/Amigo_VR/?snr=1_7_7_151_150_2,,No,,,steam_query_data_vr_multiplayer,Steam,,48,,,,,,,52%,PAID,,,,,,,,,,,,
Among Us VR,,49,https://www.meta.com/en-gb/experiences/among-us-vr/4948428055244413/,https://www.meta.com/en-gb/experiences/among-us-vr/4948428055244413/,Yes,No,,,quest_query_data_social,Quest,9.99,6428,,,,,,,76,Shutted down,,,,,,,,,,,,
Anarchy Arcade,,36,https://store.steampowered.com/app/266430/Anarchy_Arcade/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/266430/Anarchy_Arcade/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,Free,2216,,,,,,,68%,,,,,,,,,,,,,
Anarchy Arcade,,21,https://www.anarchyarcade.com/blog/welcome/,https://store.steampowered.com/app/266430/Anarchy_Arcade/,,No,,,Google search,Steam,Free,,,,,,,,,,https://wiki.resonite.com/Main_Page#Creation_&_Technical,https://protoflux.wiki/#/,https://www.youtube.com/playlist?list=PL8Q4ZMU6BghtpoSR3t9n_EgR3kZrEsK-i,In-app,In-app editor.,visual scripting,In-app with Protoflux language,,Cloud,The worlds are directly published inside the application,No peer review,No review.
Angelic: The Chaos Theatre,,41,https://store.steampowered.com/app/1440570/Angelic_The_Chaos_Theatre/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1440570/Angelic_The_Chaos_Theatre/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
Angelic: The Chaos Theatre Open Alpha,,50,https://store.steampowered.com/app/1440570/Angelic_The_Chaos_Theatre/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/1440570/Angelic_The_Chaos_Theatre/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,,,,,,,,,,,,
Animals,,42,https://store.steampowered.com/app/3103760/Animals/?snr=1_7_7_151_150_1,https://store.steampowered.com/app/3103760/Animals/?snr=1_7_7_151_150_1,,No,,,steam_query_data_metaverse,Steam,,0,,,,,,,-,,https://www.multiverseupdates.com/metaverse-guide,-,-,"Custom, In-app",Very limited things that can be customized (images or videos panels inside rooms and plot structures based on given 3D models; not really an editor),no scripting capabilities,-,,Cloud,The worlds are directly published inside the application,No peer review,No information about review.
Anyland,,22,https://anyland.com/,https://store.steampowered.com/app/505700/Anyland/,No,,,,Google search,Steam,Not downloadable,,,,,,,,,,,,,,,,,,,,,
Apertus VR,,23,https://apertusvr.org/,#N/A,No,#N/A,,,Google search,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,
APES,,32,https://www.meta.com/en-gb/experiences/apes/5770576536320136/,https://www.meta.com/en-gb/experiences/apes/5770576536320136/,Yes,No,,,quest_query_data_social,Quest,0,452,,,,,,,82,,,,,,,,,,,,,
APES,,46,https://www.meta.com/en-gb/experiences/apes/5770576536320136/,https://www.meta.com/en-gb/experiences/apes/5770576536320136/,Yes,No,,,quest_query_data_metaverse,Quest,0,452,,,,,,,82,,,,,,,,,,,,,
Arkio,,49,https://www.arkio.is/,https://store.steampowered.com/app/1053760/Arkio/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,steam_query_data_vr_multiplayer,Steam,Free,35,,,,,,,94%,,,,,,,,,,,,,
VRChat,,1,vrchat.com,https://store.steampowered.com/app/438100/VRChat/?snr=1_7_7_151_150_1,Yes,Yes,Yes,Yes,steam_query_data_metaverse,Steam,Free,223788,223788,5.663577982,9072000,-0.1787561089,5.4848,A2,74%,,https://creators.vrchat.com/getting-started,https://steamcommunity.com/sharedfiles/filedetails/?l=german&id=2507157026,https://www.youtube.com/playlist?list=PLPdWkxUSZ65Fp6ICrU7mIq1znAfPwMhNZ,Game Engine + SDK,Uses Unity,"full code, logic flow scripting",Access to Uson Graph and UdonSharp (use C#) are available in the Unity Editor.,C#,Cloud,The worlds can be uploaded to the Community Labs,Peer-review,Worlds are queued and reviewed in Community Labs before going public based on popularity and reports of major concerns.
Arkio,,112,https://www.arkio.is/,https://www.oculus.com/experiences/quest/2280319701979278/,Yes,Yes,Yes,Yes,QuestDB,Quest,Free,203,,,,,,,,,,,,,,,,,,,,
Art Gate,,24,https://www.artgatevr.com/,#N/A,No,#N/A,,,Google search,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,
